date,symbol,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-09,GOOGL,144.42,159.55,143.91,158.71,158.71,70406232,70406232,14.3,9.89,151.6475,"April 09, 25",0.0989
2025-04-10,GOOGL,156.54,157.72,149.93,152.82,152.82,48022000,48022000,-3.72,-2.38,154.2525,"April 10, 25",-0.0238
2025-04-11,GOOGL,152.9,157.67,152.82,157.14,157.14,33636239,33636239,4.24,2.77,155.1325,"April 11, 25",0.0277
2025-04-14,GOOGL,160.0,161.72,157.56,159.07,159.07,30333000,30333000,-0.925,-0.58125,159.5875,"April 14, 25",-0.0058125
2025-04-15,GOOGL,159.13,159.65,155.21,156.31,156.31,27551534,27551534,-2.81,-1.77,157.575,"April 15, 25",-0.0177
2025-04-16,GOOGL,153.1,155.89,151.51,153.33,153.33,28187421,28187421,0.23,0.15023,153.4575,"April 16, 25",0.0015023
2025-04-17,GOOGL,154.29,154.68,148.5,151.16,151.16,33046576,33046576,-3.13,-2.03,152.1575,"April 17, 25",-0.0203
2025-04-21,GOOGL,148.88,148.95,146.1,147.67,147.67,26049115,26049115,-1.21,-0.81274,147.9,"April 21, 25",-0.0081274
2025-04-22,GOOGL,148.89,152.19,148.54,151.47,151.47,26971800,26971800,2.58,1.73,150.2725,"April 22, 25",0.0173
2025-04-23,GOOGL,155.61,157.53,153.81,155.35,155.35,31128833,31128833,-0.26,-0.16708,155.575,"April 23, 25",-0.0016708
2025-04-24,GOOGL,156.15,159.59,155.79,159.28,159.28,45894000,45894000,3.13,2.0,157.7025,"April 24, 25",0.02
2025-04-25,GOOGL,165.07,166.1,161.04,161.96,161.96,56034000,56034000,-3.11,-1.88,163.5425,"April 25, 25",-0.0188
2025-04-28,GOOGL,162.43,163.15,158.6,160.61,160.61,29745800,29745800,-1.81,-1.12,161.1975,"April 28, 25",-0.0112
2025-04-29,GOOGL,160.32,160.74,157.52,160.16,160.16,26809000,26809000,-0.165,-0.0998004,159.685,"April 29, 25",-0.000998004
2025-04-30,GOOGL,157.98,159.27,155.4,158.8,158.8,34981100,34981100,0.825,0.51905,157.8625,"April 30, 25",0.0051905
2025-05-01,GOOGL,160.45,161.95,158.91,161.3,161.3,30203248,30203248,0.85,0.52976,160.6525,"May 01, 25",0.0052976
2025-05-02,GOOGL,163.41,164.97,161.87,164.03,164.03,25715005,25715005,0.625,0.37941,163.57,"May 02, 25",0.0037941
2025-05-05,GOOGL,163.0,165.39,162.72,164.21,164.21,21341814,21341814,1.21,0.74233,163.83,"May 05, 25",0.0074233
2025-05-06,GOOGL,162.17,164.8,161.19,163.23,163.23,21277210,21277210,1.06,0.65364,162.8475,"May 06, 25",0.0065364
